pos,jobless,purchase_item,female,unmarried,age,deposit,monthly_payment,months_until_payback,years_at_work
1,0,pc,1,1,0,18,20,2,15,1
1,0,pc,1,1,0,20,10,2,20,2
0,1,pc,1,0,1,25,5,4,12,0
1,0,pc,1,0,0,40,5,7,12,1
1,0,pc,1,1,1,50,5,4,12,4
1,0,pc,0,1,0,18,10,5,8,5
1,0,pc,0,1,0,22,10,3,8,15
1,0,pc,0,0,0,28,15,4,10,0
1,0,pc,0,0,0,40,20,2,20,1
0,1,pc,0,0,0,50,5,4,12,2
0,0,car,1,1,0,18,50,8,20,5
0,1,car,1,0,0,20,50,10,20,15
0,0,car,1,1,0,25,50,5,20,2
1,0,car,1,1,0,38,150,10,20,3
1,0,car,1,0,0,50,50,15,20,2
0,0,car,0,1,0,19,50,7,20,15
1,0,car,0,0,0,21,150,3,20,2
1,0,car,0,1,0,25,150,10,20,7
1,0,car,0,0,0,38,100,10,20,3
0,0,car,0,0,0,50,50,10,30,0
1,0,stereo,0,0,0,42,90,2,6,1
1,0,stereo,0,1,0,28,10,10,5,0
0,1,stereo,1,0,1,55,30,10,8,1
1,0,stereo,1,0,0,21,10,1,12,5
0,0,stereo,0,1,0,81,20,4,10,8
0,0,stereo,1,1,0,23,80,10,6,0
0,0,stereo,0,0,0,35,7,10,4,0
1,0,stereo,1,1,0,47,5,3,7,4
1,0,stereo,0,0,0,98,10,15,5,1
0,0,stereo,1,1,1,68,2,7,8,3
1,0,stereo,1,1,0,27,6,10,6,0
1,0,stereo,1,1,0,19,5,2,20,9
0,0,stereo,1,1,1,23,5,1,10,12
0,1,stereo,1,1,0,25,10,4,20,2
1,0,stereo,1,0,0,31,10,2,10,14
0,0,stereo,1,0,0,34,1,10,20,0
0,0,stereo,0,1,0,20,10,2,20,1
1,0,stereo,0,0,0,32,5,4,10,35
0,1,stereo,0,0,1,38,3,1,20,3
1,0,stereo,0,0,0,45,10,7,20,7
1,0,stereo,0,1,0,57,70,6,5,0
1,0,jewel,0,0,0,25,16,3,20,11
1,0,jewel,0,1,0,42,19,9,8,5
0,1,jewel,1,0,0,61,49,8,4,13
1,0,jewel,0,0,0,48,30,2,10,1
1,0,jewel,1,1,0,29,31,10,8,6
1,0,jewel,1,0,0,35,21,19,5,9
0,0,jewel,0,1,1,40,9,9,10,2
1,0,jewel,0,0,0,31,6,2,15,0
1,0,jewel,1,1,0,37,9,5,12,3
1,0,jewel,0,0,0,23,21,9,10,7
0,0,jewel,1,1,0,70,9,4,8,13
1,0,jewel,1,1,0,21,40,5,10,0
1,0,jewel,1,1,0,29,10,2,12,11
1,0,jewel,1,1,0,37,35,3,10,1
1,1,jewel,1,0,0,43,10,2,20,2
1,0,jewel,1,0,0,51,40,3,10,0
0,0,jewel,0,0,0,19,5,1,20,20
1,0,jewel,0,1,0,24,40,5,10,37
0,1,jewel,0,1,1,33,100,2,5,2
1,0,jewel,0,0,0,42,30,3,10,1
1,0,jewel,0,0,0,59,50,4,10,18
1,0,medinstru,1,1,0,32,400,20,20,27
1,0,medinstru,1,0,0,37,100,80,10,30
1,0,medinstru,1,0,0,41,50,50,20,1
1,0,medinstru,1,0,0,50,300,30,20,10
0,0,medinstru,1,0,0,55,100,60,20,18
0,0,medinstru,0,1,1,37,300,50,10,30
1,0,medinstru,0,0,0,40,500,20,20,25
1,0,medinstru,0,1,0,46,200,50,10,11
1,0,medinstru,0,0,0,57,100,50,20,2
1,0,medinstru,0,0,1,63,50,50,20,7
1,0,medinstru,1,0,0,52,50,20,20,13
1,0,medinstru,0,1,0,27,500,10,5,3
1,0,medinstru,1,1,0,35,150,18,12,1
1,0,medinstru,0,1,1,26,200,20,10,9
1,0,medinstru,0,0,0,59,100,20,20,5
1,0,medinstru,1,1,1,23,250,10,10,6
1,0,medinstru,0,0,0,51,50,20,20,0
1,0,medinstru,0,0,0,38,300,10,10,6
1,0,medinstru,1,0,0,48,100,20,20,25
0,1,medinstru,0,1,0,67,400,15,5,0
1,0,medinstru,1,0,0,33,500,12,5,1
1,0,jewel,0,1,1,37,200,50,10,5
1,1,stereo,1,0,0,52,100,5,5,0
1,0,medinstru,0,1,0,29,100,30,20,5
1,0,stereo,1,1,0,23,2,2,10,5
0,1,stereo,1,0,0,70,2,10,5,7
1,0,stereo,0,0,0,25,5,2,10,7
1,0,stereo,0,1,0,65,5,2,10,1
1,0,stereo,0,0,0,30,10,10,10,12
1,0,medinstru,0,0,0,35,500,20,20,2
1,0,medinstru,1,1,0,27,50,50,20,5
1,0,medinstru,0,0,0,40,50,50,20,5
0,0,medinstru,1,1,0,37,200,40,20,25
1,0,jewel,1,1,0,40,30,2,10,0
1,0,jewel,0,1,0,27,15,2,12,10
1,0,jewel,0,0,0,55,50,3,10,2
0,1,jewel,1,0,0,60,5,10,10,1
1,0,jewel,1,1,0,45,20,20,10,13
0,0,jewel,1,1,0,20,20,10,10,2
0,0,jewel,0,1,0,18,10,7,12,2
1,0,jewel,0,0,0,35,20,10,10,1
1,0,jewel,0,1,0,35,10,10,10,1
0,0,jewel,0,1,1,35,10,10,10,5
1,0,bike,0,1,0,18,15,1,10,2
0,0,bike,0,1,0,18,10,5,10,5
1,0,bike,0,1,0,22,20,5,10,1
0,0,bike,0,1,0,22,10,5,10,1
1,0,bike,0,0,0,25,10,5,10,5
0,0,bike,1,0,0,18,10,2,10,2
0,0,bike,1,0,0,18,10,5,10,5
0,0,bike,1,0,0,22,20,5,10,20
0,0,bike,1,1,0,22,10,5,10,20
0,1,bike,1,0,0,25,10,5,10,3
1,0,furniture,1,0,0,40,50,5,20,13
1,0,furniture,1,0,0,50,100,10,12,2
1,0,furniture,1,1,0,30,50,5,20,20
1,0,furniture,1,0,0,35,20,10,15,20
0,0,furniture,1,0,0,25,30,7,20,10
1,0,furniture,0,0,0,40,60,5,20,13
1,0,furniture,0,0,0,50,90,10,12,1
